id,name,link,immunity_condition,immunity_damage,def,hits,habitat,exp,speed,resist,saving,debility,languages,feels,skill_bonus,source,strength,dexterity,constitution,intelligence,wisdom,charisma,brief_inf
849,Дагаз [Dagaz],https://dnd.su/bestiary/9268-dagaz/,,,18,91 (14к8 + 28) ,,8 (3900 опыта),30 футов,,"Тел +5, Инт +5, Мдр +5",,Гитский,пассивное Восприятие 12,+3 ,«Spelljammer: Adventures in Space»,"[16, 3]","[14, 2]","[15, 2]","[14, 2]","[14, 2]","[15, 2]","Средний? Гуманоид (гит), законно-злой, именной НИП"
850,«Демогоргон» [«The Demogorgon»],https://dnd.su/bestiary/8520-the-demogorgon/,,,15,123 (13к12 + 39) ,,8 (3900 опыта),40 футов,,,,,"тёмное зрение? 60 футов, пассивное Восприятие 13",+3 ,«Infernal Machine Rebuild»,"[21, 5]","[8, -1]","[17, 3]","[6, -2]","[10, 0]","[8, -1]","Большой? Великан, хаотично-нейтральный"
851,Дермот Вурдер (3-го уровня) [Dermot Wurder (Tier 3)],https://dnd.su/bestiary/7795-dermot-wurder-tier-3/,,,20,93 (17к6 + 34) ,,8 (3900 опыта),"30 футов, плавая 30 футов (доспех моряка)",,"Мдр +8, Хар +3",,"Общий, Гоблинский, Орочий","тёмное зрение? 60 футов, пассивное Восприятие 15",+3 ,«Critical Role: Call of the Netherdeep»,"[18, 4]","[12, 1]","[14, 2]","[10, 0]","[20, 5]","[10, 0]","Маленький? Гуманоид (Жрец, Гоблин, Гоблиноид), законно-добрый, именной НИП"
852,Драконорождённый Багамута [Dragonborn of Bahamut],https://dnd.su/bestiary/6333-dragonborn-of-bahamut/,испуг?,,18,93 (11к8 + 44) ,,8 (3900 опыта),"30 футов, летая 30 футов",,"Тел +7, Инт +4, Мдр +5, Хар +6",,"Общий, Драконий",пассивное Восприятие 15,+3 ,«Fizban's Treasury of Dragons»,"[19, 4]","[13, 1]","[18, 4]","[12, 1]","[14, 2]","[17, 3]","Средний? Гуманоид, законно-добрый"
853,Дроу жрица Лолс [Drow priestess of Lolth],https://dnd.su/bestiary/148-drow-priestess-of-lolth/,,,16,71 (13к8 + 13) ,подземье,8 (3900 опыта),30 футов,,"Тел +4, Мдр +6, Хар +7",,"Подземный, Эльфийский","тёмное зрение? 120 футов, пассивное Восприятие 16",+3 ,«Monster manual»,"[10, 0]","[14, 2]","[12, 1]","[13, 1]","[17, 3]","[18, 4]","Средний? Гуманоид (эльф), нейтрально-злой"
854,Друфи [Drufi],https://dnd.su/bestiary/6044-drufi/,,холод,15,138 (12к12 + 60) ,,8 (3900 опыта),40 футов,,"Тел +8, Мдр +3, Хар +4",,Великаний,пассивное Восприятие 13,+3 ,«Storm King's Thunder»,"[23, 6]","[9, -1]","[21, 5]","[9, -1]","[10, 0]","[12, 1]","Огромный? Великан (женщина), нейтрально-злой, именной НИП"
855,Духовная нага [Spirit naga],https://dnd.su/bestiary/250-spirit-naga/,"очарование?, отравление?",яд,15,75 (10к10 + 20) ,подземье,8 (3900 опыта),40 футов,,"Лов +6, Тел +5, Мдр +5, Хар +6",,"Общий, Бездны","тёмное зрение? 60 футов, пассивное Восприятие 12",+3 ,«Monster manual»,"[18, 4]","[17, 3]","[14, 2]","[16, 3]","[15, 2]","[16, 3]","Большой? Монстр, хаотично-злой"
856,Дьявол цепей (Китон) [Chain devil],https://dnd.su/bestiary/80-chain-devil/,отравление?,"огонь, яд",16,85 (10к8 + 40) ,,8 (3900 опыта),30 футов,"холод; дробящий, колющий, рубящий от немагических атак, кроме нанесённых посеребрённым оружием","Тел +7, Мдр +4, Хар +5",,"Инфернальный, Телепатия 120 фт.","тёмное зрение? 120 футов, пассивное Восприятие 11",+3 ,«Monster manual»,"[18, 4]","[15, 2]","[18, 4]","[11, 0]","[12, 1]","[14, 2]","Среднее? Исчадие (дьявол), законно-злое"
857,Дэтлок манипулятор [Deathlock Mastermind],https://dnd.su/bestiary/6583-deathlock-mastermind/,"отравление?, истощение?",яд,13,110 (20к8 + 20) ,город,8 (3900 опыта),30 футов,"некротическая энергия; дробящий, колющий, рубящий от немагических атак, кроме нанесённых посеребрённым оружием","Инт +5, Хар +6",,,"тёмное зрение? 120 футов (включая магическую тьму), пассивное Восприятие 14",+3 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[11, 0]","[16, 3]","[12, 1]","[15, 2]","[12, 1]","[17, 3]","Средняя? Нежить (колдун), обычно нейтрально-злая"
858,Деррион Сумеречная тень [Derrion Shadowdusk],https://dnd.su/bestiary/6147-derrion-shadowdusk/,,,18,143 (22к8 + 44) ,,9 (5000 опыта),30 футов,,"Сил +9, Тел +9",,"Общий, Глубинная речь",пассивное Восприятие 16,+4 ,«Waterdeep: Dungeon of the Mad Mage»,"[20, 5]","[15, 2]","[14, 2]","[10, 0]","[14, 2]","[12, 1]","Средний? Гуманоид (человек), хаотично-злой, именной НИП"
859,Дриада Конклава [Conclave Dryad],https://dnd.su/bestiary/8291-conclave-dryad/,,,16,143 (22к8 + 44) ,,9 (5000 опыта),30 футов,,"Инт +8, Мдр +9, Хар +9",,"Общий, Сильван, Эльфийский","тёмное зрение? 60 футов, пассивное Восприятие 19",+4 ,«Guildmasters' guide to Ravnica»,"[12, 1]","[19, 4]","[14, 2]","[19, 4]","[20, 5]","[21, 5]","Средняя? Фея, законно-добрая"
860,Дроу капитан дома [Drow House Captain],https://dnd.su/bestiary/6641-drow-house-captain/,,,16,162 (25к8 + 50) ,подземье,9 (5000 опыта),30 футов,,"Лов +8, Тел +6, Мдр +6",,"Подземный, Эльфийский","тёмное зрение? 120 футов, пассивное Восприятие 16",+4 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[14, 2]","[19, 4]","[15, 2]","[12, 1]","[14, 2]","[13, 1]","Средний? Гуманоид (эльф), обычно нейтрально-злой"
861,Дюрнан [Durnan],https://dnd.su/bestiary/5114-durnan/,,,16,144 (17к8 + 68) ,,9 (5000 опыта),30 футов,,"Сил +8, Тел +8",,"Общий, Дварфийский",пассивное Восприятие 15,+4 ,«Waterdeep: Dragon Heist»,"[18, 4]","[15, 2]","[18, 4]","[13, 1]","[12, 1]","[10, 0]","Средний? Гуманоид (человек), нейтральный, именной НИП"
862,Демогот [Daemogoth],https://dnd.su/bestiary/8059-daemogoth/,испуг?,психическая энергия,16,157 (15к12 + 60) ,,10 (5900 опыта),"40 футов, лазая 40 футов",,"Инт +9, Мдр +6, Хар +8",,"Бездны, Инфернальный, Телепатия 120 фт.","истинное зрение? 120 футов, пассивное Восприятие 16",+4 ,«Strixhaven: A Curriculum of Chaos»,"[19, 4]","[15, 2]","[19, 4]","[21, 5]","[14, 2]","[18, 4]","Огромное? Исчадие, законно-злое"
863,Деформированный кракен [Malformed Kraken],https://dnd.su/bestiary/17439-malformed-kraken/,"паралич?, испуг?",электричество,17,172 (15к12 + 75) ,под водой,10 (5900 опыта),"20 футов, плавая 40 футов","дробящий, колющий, рубящий от немагических атак","Сил +11, Тел +9, Инт +4, Мдр +6, Хар +6",,"понимает Общий, но не говорит, Телепатия 60 фт.","истинное зрение? 60 футов, пассивное Восприятие 12",+4 ,«Tales from the Yawning Portal»,"[25, 7]","[11, 0]","[20, 5]","[11, 0]","[15, 2]","[15, 2]","Огромный? Монстр, хаотично-злой"
864,Джамиль А'алития [Jamil A'alithiya],https://dnd.su/bestiary/7894-jamil-aalithiya/,очарование?,,19,130 (20к8 + 40) ,,10 (5900 опыта),60 футов,психическая энергия,"Лов +7, Мдр +10",,Общий,"слепое зрение? 30 футов, пассивное Восприятие 20",+4 ,«Critical Role: Call of the Netherdeep»,"[12, 1]","[16, 3]","[14, 2]","[18, 4]","[22, 6]","[17, 3]","Средний? Гуманоид (Монах, Волшебник, Человек), хаотично-добрый, именной НИП"
865,Древний облекс [Elder Oblex],https://dnd.su/bestiary/6900-elder-oblex/,"ослепление?, сбивание с ног?, очарование?, глухота?, истощение?",,16,115 (10к12 + 50) ,"болото, город, подземье",10 (5900 опыта),20 футов,,"Инт +10, Хар +8",,"Общий, плюс ещё шесть языков","слепое зрение? 60 футов (слеп за пределами этого радиуса), пассивное Восприятие 15",+4 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[15, 2]","[16, 3]","[21, 5]","[22, 6]","[13, 1]","[18, 4]","Огромная? Слизь, обычно законно-злая"
866,Дуллахан [Dullahan],https://dnd.su/bestiary/6863-dullahan/,"испуг?, отравление?, очарование?",,16,135 (18к8 + 54) ,,10 (5900 опыта),30 футов,"холод, электричество, яд",Тел +7,,"понимает все, известные при жизни, но не говорит","истинное зрение? 120 футов, пассивное Восприятие 16",+4 ,«Van Richten's Guide to Ravenloft»,"[18, 4]","[14, 2]","[16, 3]","[11, 0]","[15, 2]","[16, 3]",Средняя? Нежить
867,Дурноглаз [Eye Monger],https://dnd.su/bestiary/8832-eye-monger/,,,17,149 (13к10 + 78) ,,10 (5900 опыта),"0 футов, летая 20 футов (парит)",,,,Глубинная речь,"слепое зрение? 120 футов (пока глаз дурноглаза закрыт), тёмное зрение? 120 футов, пассивное Восприятие 11",+4 ,«Spelljammer: Adventures in Space»,"[21, 5]","[6, -2]","[23, 6]","[7, -2]","[13, 1]","[7, -2]","Большая? Аберрация, обычно законно-злая"
868,Дэв [Deva],https://dnd.su/bestiary/32-deva/,"очарование?, истощение?, испуг?",,17,136 (16к8 + 64) ,,10 (5900 опыта),"30 футов, летая 90 футов","излучение; дробящий, колющий, рубящий от немагических атак","Мдр +9, Хар +9",,"Все, Телепатия 120 фт.","тёмное зрение? 120 футов, пассивное Восприятие 19",+4 ,«Monster manual»,"[18, 4]","[18, 4]","[18, 4]","[17, 3]","[20, 5]","[20, 5]","Средний? Небожитель, законно-добрый"
869,Дао [Dao],https://dnd.su/bestiary/160-dao/,окаменение?,,18,187 (15к10 + 105) ,подземье,11 (7200 опыта),"30 футов, летая 30 футов, копая 30 футов",,"Инт +5, Мдр +5, Хар +6",,Терран,"тёмное зрение? 120 футов, пассивное Восприятие 11",+4 ,«Monster manual»,"[23, 6]","[12, 1]","[24, 7]","[12, 1]","[13, 1]","[14, 2]","Большой? Элементаль, нейтрально-злой"
870,Демоданд фарасту [Farastu Demodand],https://dnd.su/bestiary/13087-farastu-demodand/,"опутанность?, отравление?, паралич?","кислота, яд",17,195 (26к8 + 78) ,,11 (7200 опыта),"40 футов, лазая 40 футов","огонь, холод","Лов +5, Мдр +5",,"Язык Демодандов, Бездны, Телепатия 120 фт.","тёмное зрение? 120 футов, пассивное Восприятие 19",+4 ,«Planescape: Adventures in the Multiverse»,"[20, 5]","[13, 1]","[16, 3]","[8, -1]","[12, 1]","[16, 3]","Среднее? Исчадие, нейтрально-злое"
871,Джинн [Djinni],https://dnd.su/bestiary/161-djinni/,,"звук, электричество",17,161 (14к10 + 84) ,побережье,11 (7200 опыта),"30 футов, летая 90 футов",,"Лов +6, Мдр +7, Хар +9",,Ауран,"тёмное зрение? 120 футов, пассивное Восприятие 13",+4 ,«Monster manual»,"[21, 5]","[15, 2]","[22, 6]","[15, 2]","[16, 3]","[20, 5]","Большой? Элементаль, хаотично-добрый, законно-добрый"
872,Дракогидра [Dracohydra],https://dnd.su/bestiary/6304-dracohydra/,,,17,218 (19к12 + 95) ,,11 (7200 опыта),"30 футов, плавая 30 футов, летая 30 футов",,,,Драконий,"тёмное зрение? 60 футов, пассивное Восприятие 19",+4 ,«Fizban's Treasury of Dragons»,"[20, 5]","[12, 1]","[20, 5]","[6, -2]","[12, 1]","[12, 1]","Огромный? Монстр, хаотично-злой"
873,Дроу клинок теней [Drow Shadowblade],https://dnd.su/bestiary/6704-drow-shadowblade/,,,17,150 (20к8 + 60) ,подземье,11 (7200 опыта),30 футов,,"Лов +9, Тел +7, Мдр +6",,"Подземный, Эльфийский","тёмное зрение? 120 футов, пассивное Восприятие 16",+4 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[14, 2]","[21, 5]","[16, 3]","[12, 1]","[14, 2]","[13, 1]","Средний? Гуманоид (эльф), обычно нейтрально-злой"
874,Дэглот [Degloth],https://dnd.su/bestiary/15697-degloth/,"испуг?, истощение?, отравление?, очарование?",яд,18,133 (14к10 + 56) ,,11 (7200 опыта),"40 футов, лазая 40 футов","огонь, холод, электричество; немагический дробящий, колющий, рубящий","Сил +10, Тел +8",,"Бездны, Телепатия 120 фт.","тёмное зрение? 120 футов, пассивное Восприятие 14",+4 ,«Vecna: Eve of Ruin»,"[23, 6]","[17, 3]","[18, 4]","[6, -2]","[11, 0]","[9, -1]","Большое? Исчадие (Демон), обычно хаотично-злое"
875,Добрый страж высших фей [High Fae Kindguard],https://dnd.su/bestiary/17347-high-fae-kindguard/,,,17,156 (24к8 + 48) ,,12 (8400 опыта),"40 футов, летая 60 футов (парит)","дробящий, колющий, рубящий от немагических атак","Сил +10, Лов +10",,"Общий, Сильван","тёмное зрение? 60 футов, пассивное Восприятие 17",+4 ,«Monstrous Compendium Vol. Four: Eldraine Creatures»,"[22, 6]","[23, 6]","[15, 2]","[14, 2]","[17, 3]","[13, 1]","Средняя? Фея, любое мировоззрение"
876,Дриввин Фрет [Drivvin Freth],https://dnd.su/bestiary/6184-drivvin-freth/,,,12,99 (18к8 + 18) ,,12 (8400 опыта),30 футов,"дробящий, колющий, рубящий от немагических атак","Инт +9, Мдр +6",,"Общий, Бездны, Гоблинский, Дварфийский, Подземный, Эльфийский","тёмное зрение? 120 футов, пассивное Восприятие 12",+4 ,«Waterdeep: Dungeon of the Mad Mage»,"[10, 0]","[14, 2]","[12, 1]","[20, 5]","[15, 2]","[16, 3]","Средний? Гуманоид (дроу), нейтрально-злой, именной НИП"
877,Дуговой Феникс [Arclight Phoenix],https://dnd.su/bestiary/8290-arclight-phoenix/,"бессознательность?, захват?, истощение?, окаменение?, опутанность?, отравление?, паралич?","электричество, яд",16,142 (19к8 + 57) ,,12 (8400 опыта),"0 футов, летая 120 футов","звук; дробящий, колющий, рубящий от немагических атак",Лов +10,,,"тёмное зрение? 60 футов, пассивное Восприятие 11",+4 ,«Guildmasters' guide to Ravnica»,"[15, 2]","[22, 6]","[17, 3]","[5, -3]","[12, 1]","[7, -2]","Средний? Элементаль, хаотично-нейтральный"
878,Дуэргар деспот [Duergar Despot],https://dnd.su/bestiary/6705-duergar-despot/,"испуг?, истощение?, отравление?, очарование?, паралич?",яд,21,119 (14к8 + 56) ,"горы, подземье",12 (8400 опыта),25 футов,,"Тел +8, Мдр +6",,"Дварфийский, Подземный","тёмное зрение? 120 футов, пассивное Восприятие 12",+4 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[20, 5]","[5, -3]","[19, 4]","[14, 2]","[15, 2]","[13, 1]","Средний? Гуманоид (дварф), любое мировоззрение"
879,Дворянин высших фей [High Fae Noble],https://dnd.su/bestiary/17349-high-fae-noble/,"испуг?, истощение?, очарование?",,17,175 (27к8 + 54) ,,13 (10 000 опыта),"40 футов, летая 40 футов (парит)","дробящий, колющий, рубящий от немагических атак","Лов +12, Инт +9, Мдр +9, Хар +11",,"Общий, Сильван, Телепатия 120 фт.","тёмное зрение? 60 футов, пассивное Восприятие 19",+5 ,«Monstrous Compendium Vol. Four: Eldraine Creatures»,"[13, 1]","[25, 7]","[15, 2]","[19, 4]","[18, 4]","[22, 6]","Средняя? Фея, любое мировоззрение"
880,Демоданд келубар [Kelubar Demodand],https://dnd.su/bestiary/13094-kelubar-demodand/,"опутанность?, отравление?, паралич?","кислота, яд",18,187 (22к8 + 88) ,,13 (10 000 опыта),"30 футов, летая 60 футов","огонь, холод","Лов +6, Мдр +7",,"Язык Демодандов, Бездны, Телепатия 120 фт.","тёмное зрение? 120 футов, пассивное Восприятие 12",+5 ,«Planescape: Adventures in the Multiverse»,"[22, 6]","[13, 1]","[18, 4]","[14, 2]","[15, 2]","[18, 4]","Среднее? Исчадие, нейтрально-злое"
881,Джандер Санстар [Jander Sunstar],https://dnd.su/bestiary/6431-jander-sunstar/,,,16,144 (17к8 + 68) ,,13 (10 000 опыта),30 футов,"некротическая энергия; дробящий, колющий, рубящий от немагических атак","Лов +9, Мдр +7, Хар +9",,"все, известные при жизни","тёмное зрение? 120 футов, пассивное Восприятие 17",+5 ,«Baldur's Gate: Descent Into Avernus»,"[18, 4]","[18, 4]","[18, 4]","[17, 3]","[15, 2]","[18, 4]","Средняя? Нежить (перевертыш), законно-злая, именной НИП"
882,Джиджибиша Маниварши [Jijibisha Manivarshi],https://dnd.su/bestiary/8490-jijibisha-manivarshi/,"очарование?, отравление?, испуг?","кислота, яд",19,153 (18к8 + 72) ,,13 (10 000 опыта),"30 футов, летая 60 футов","огонь, холод, электричество; дробящий, колющий, рубящий от немагических атак",,,"Бездны, Инфернальный, Телепатия 120 фт.","истинное зрение? 120 футов, пассивное Восприятие 17",+5 ,«Journeys through the Radiant Citadel»,"[16, 3]","[16, 3]","[18, 4]","[18, 4]","[15, 2]","[19, 4]","Среднее? Исчадие (юголот), нейтрально-злое, именной НИП"
883,Дроу арахномант [Drow Arachnomancer],https://dnd.su/bestiary/6611-drow-arachnomancer/,,,15,162 (25к8 + 50) ,подземье,13 (10 000 опыта),"30 футов, лазая 30 футов",яд,"Тел +7, Инт +9, Хар +8",,"может общаться с пауками, Подземный, Эльфийский","слепое зрение? 10 футов, тёмное зрение? 120 футов, пассивное Восприятие 17",+5 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[11, 0]","[17, 3]","[14, 2]","[19, 4]","[14, 2]","[16, 3]","Средний? Гуманоид (эльф), обычно хаотично-злой"
884,Древний морской змей [Ancient Sea Serpent],https://dnd.su/bestiary/6291-ancient-sea-serpent/,,холод,17,170 (11к20 + 55) ,,14 (11 500 опыта),"20 футов, плавая 60 футов",,"Сил +12, Тел +10",,"Общий, Драконий","тёмное зрение? 120 футов, пассивное Восприятие 18",+5 ,«Fizban's Treasury of Dragons»,"[24, 7]","[15, 2]","[20, 5]","[13, 1]","[16, 3]","[12, 1]","Громадный? Дракон, нейтральный"
885,Дредноут огненный великан [Fire giant dreadnought],https://dnd.su/bestiary/6747-fire-giant-dreadnought/,,огонь,21,187 (15к12 + 90) ,"горы, подземье",14 (11 500 опыта),30 футов,,"Лов +4, Тел +11, Хар +5",,Великаний,пассивное Восприятие 15,+5 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[27, 8]","[9, -1]","[23, 6]","[8, -1]","[10, 0]","[11, 0]","Огромный? Великан, обычно законно-злой"
886,Дроу инквизитор  [Drow Inquisitor],https://dnd.su/bestiary/6642-drow-inquisitor/,испуг?,,16,149 (23к8 + 46) ,подземье,14 (11 500 опыта),30 футов,,"Тел +7, Мдр +10, Хар +10",,"Подземный, Эльфийский","тёмное зрение? 120 футов, пассивное Восприятие 20",+5 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[11, 0]","[15, 2]","[14, 2]","[16, 3]","[21, 5]","[20, 5]","Средний? Гуманоид (эльф, жрец), обычно нейтрально-злой"
887,Дворянин фомор [Fomorian Noble],https://dnd.su/bestiary/12125-fomorian-noble/,очарование?,,14,253 (22к12 + 110) ,,15 (13 000 опыта),30 футов,,"Инт +9, Мдр +7, Хар +8",,Великаний плюс три любых языка,пассивное Восприятие 17,+5 ,«Bigby Presents: Glory of the Giants»,"[23, 6]","[18, 4]","[20, 5]","[19, 4]","[14, 2]","[16, 3]","Огромный? Великан (Волшебник), обычно хаотично-злой"
888,Джарлаксл Баэнр [Jarlaxle Baenre],https://dnd.su/bestiary/5298-jarlaxle-baenre/,,,24,123 (19к8 + 38) ,,15 (13 000 опыта),30 футов,,"Лов +11, Мдр +8",,"Общий, Бездны, Дварфийский, Драконий, Подземный, Эльфийский","тёмное зрение? 120 футов, пассивное Восприятие 18",+5 ,«Waterdeep: Dragon Heist»,"[12, 1]","[22, 6]","[14, 2]","[20, 5]","[16, 3]","[19, 4]","Средний? Гуманоид (эльф), хаотично-нейтральный, именной НИП"
889,Древний глубинный ворон [Ancient Deep Crow],https://dnd.su/bestiary/7486-ancient-deep-crow/,,,18,187 (15к12 + 90) ,,15 (13 000 опыта),"20 футов, летая 80 футов","дробящий, колющий, рубящий от немагических атак","Тел +11, Мдр +7",,Язык Глубинных воронов,"слепое зрение? 60 футов, тёмное зрение? 120 футов, пассивное Восприятие 17",+5 ,«Acquisition Incorporated»,"[23, 6]","[16, 3]","[23, 6]","[10, 0]","[15, 2]","[19, 4]","Огромный? Монстр, без мировоззрения"
890,Древний лягемот [Froghemoth Elder],https://dnd.su/bestiary/17217-froghemoth-elder/,,,14,207 (18к12 + 90) ,,15 (13 000 опыта),"30 футов, плавая 30 футов","огонь, электричество","Сил +12, Тел +10, Мдр +7",,,"тёмное зрение? 60 футов, пассивное Восприятие 22",+5 ,«Quest from the Infinite Staircase»,"[25, 7]","[13, 1]","[20, 5]","[2, -4]","[14, 2]","[8, -1]","Огромный? Монстр, без мировоззрения"
891,Дрелнза [Drelnza],https://dnd.su/bestiary/17218-drelnza/,истощение?,,18,187 (22к8 + 88) ,,15 (13 000 опыта),"30 футов, лазая 30 футов",некротическая энергия,"Лов +9, Инт +8, Мдр +7, Хар +9",,"Общий, Бездны, Великаний","тёмное зрение? 120 футов, пассивное Восприятие 17",+5 ,«Quest from the Infinite Staircase»,"[18, 4]","[18, 4]","[18, 4]","[17, 3]","[15, 2]","[18, 4]","Средняя? Нежить (Вампир), законно-злая, именной НИП"
892,Дух Бури [Tempest Spirit],https://dnd.su/bestiary/12268-tempest-spirit/,"захват?, испуг?, истощение?, окаменение?, опутанность?, отравление?, очарование?, паралич?, сбивание с ног?","звук, электричество",12,195 (17к12 + 85) ,,15 (13 000 опыта),"0 футов, летая 60 футов (парит)","некротическая энергия, холод, яд; немагический дробящий, колющий, рубящий","Тел +10, Инт +8, Мдр +9, Хар +9",,"Общий, Великаний",пассивное Восприятие 19,+5 ,«Bigby Presents: Glory of the Giants»,"[24, 7]","[14, 2]","[20, 5]","[16, 3]","[18, 4]","[19, 4]","Огромная? Нежить, обычно хаотично-злая"
893,Демогот-титан [Daemogoth Titan],https://dnd.su/bestiary/8060-daemogoth-titan/,"испуг?, очарование?",психическая энергия,17,203 (11к20 + 88) ,,16 (15 000 опыта),40 футов,,"Инт +12, Мдр +9, Хар +10",,"Бездны, Инфернальный, Телепатия 120 фт.","истинное зрение? 120 футов, пассивное Восприятие 19",+5 ,«Strixhaven: A Curriculum of Chaos»,"[26, 8]","[10, 0]","[26, 8]","[24, 7]","[18, 4]","[20, 5]","Громадное? Исчадие, хаотично-злое"
894,Демоданд шатор [Shator Demodand],https://dnd.su/bestiary/13095-shator-demodand/,"испуг?, опутанность?, отравление?, очарование?, паралич?","кислота, яд",19,195 (23к10 + 69) ,,16 (15 000 опыта),"30 футов, летая 60 футов","огонь, холод","Лов +7, Мдр +9",,"Общий, Бездны, Инфернальный, Язык Демодандов","истинное зрение? 120 футов, пассивное Восприятие 23",+5 ,«Planescape: Adventures in the Multiverse»,"[24, 7]","[15, 2]","[17, 3]","[21, 5]","[16, 3]","[20, 5]","Большое? Исчадие, нейтрально-злое"
895,Дезмир Сумеречная тень [Dezmyr Shadowdusk],https://dnd.su/bestiary/6145-dezmyr-shadowdusk/,"отравление?, истощение?, испуг?","некротическая энергия, яд",20,180 (19к8 + 95) ,,17 (18 000 опыта),30 футов,,"Лов +6, Мдр +9, Хар +10",,"Общий, Бездны, Глубинная речь","тёмное зрение? 120 футов, пассивное Восприятие 13",+6 ,«Waterdeep: Dungeon of the Mad Mage»,"[20, 5]","[11, 0]","[20, 5]","[12, 1]","[16, 3]","[18, 4]","Средняя? Нежить, хаотично-злая, именной НИП"
896,Драколич (шаблон) [Dracolich],https://dnd.su/bestiary/135-dracolich/,"паралич?, очарование?, истощение?, испуг?, отравление?","электричество, яд",19,225 (18к12 + 108) ,,17 (18 000 опыта),"40 футов, летая 80 футов, копая 30 футов",некротическая энергия,"Лов +5, Тел +11, Мдр +7, Хар +9",,"Общий, Драконий","слепое зрение? 60 футов, тёмное зрение? 120 футов, пассивное Восприятие 22",+6 ,«Monster manual»,"[25, 7]","[10, 0]","[23, 6]","[19, 4]","[15, 2]","[19, 4]","Огромная? Нежить, законно-злая"
897,Драконий осколок [Draconic Shard],https://dnd.su/bestiary/6312-draconic-shard/,,"некротическая энергия, психическая энергия, холод, яд",17,168 (16к12 + 64) ,,17 (18 000 опыта),"0 футов, летая 80 футов (парит)","кислота, огонь; дробящий, колющий, рубящий от немагических атак","Лов +7, Инт +12, Мдр +10, Хар +12",,"Общий, Драконий, Телепатия 120 фт.","истинное зрение? 60 футов, тёмное зрение? 120 футов, пассивное Восприятие 26",+6 ,«Fizban's Treasury of Dragons»,"[1, -5]","[12, 1]","[18, 4]","[22, 6]","[18, 4]","[22, 6]","Большая? Нежить, нейтральная"
898,Дракочерепаха [Dragon turtle],https://dnd.su/bestiary/137-dragon-turtle/,,,20,341 (22к20 + 110) ,"побережье, под водой",17 (18 000 опыта),"20 футов, плавая 40 футов",огонь,"Лов +6, Тел +11, Мдр +7",,"Акван, Драконий","тёмное зрение? 120 футов, пассивное Восприятие 11",+6 ,«Monster manual»,"[25, 7]","[10, 0]","[20, 5]","[10, 0]","[12, 1]","[12, 1]","Громадный? Дракон, нейтральный"
899,Демилич [Demilich],https://dnd.su/bestiary/62-demilich/,"ошеломление?, сбивание с ног?, паралич?, очарование?, отравление?, окаменение?, истощение?, испуг?, глухота?","некротическая энергия, психическая энергия, яд; дробящий, колющий, рубящий от немагических атак",20,80 (32к4) ,,18 (20 000 опыта),"0 футов, летая 30 футов (парит)","дробящий, колющий, рубящий от магического оружия","Тел +6, Инт +11, Мдр +9, Хар +11",,,"истинное зрение? 120 футов, пассивное Восприятие 13",+6 ,«Monster manual»,"[1, -5]","[20, 5]","[10, 0]","[20, 5]","[17, 3]","[20, 5]","Крошечная? Нежить, нейтрально-злая"
900,Древний [Archaic],https://dnd.su/bestiary/8055-archaic/,"испуг?, истощение?, окаменение?, отравление?, очарование?, ошеломление?, паралич?","психическая энергия, яд",20,245 (14к20 + 98) ,,18 (20 000 опыта),40 футов,силовое поле,"Лов +6, Инт +14, Мдр +13, Хар +11",,Все,"истинное зрение? 120 футов, пассивное Восприятие 23",+6 ,«Strixhaven: A Curriculum of Chaos»,"[25, 7]","[10, 0]","[24, 7]","[27, 8]","[24, 7]","[20, 5]","Громадный? Небожитель, нейтральный"
901,Древний глубинный дракон [Ancient Deep Dragon],https://dnd.su/bestiary/6262-ancient-deep-dragon/,"испуг?, отравление?, очарование?",,20,201 (13к20 + 65) ,,18 (20 000 опыта),"40 футов, плавая 40 футов, летая 80 футов, копая 40 футов","психическая энергия, яд","Лов +9, Тел +11, Мдр +10, Хар +11",,"Общий, Драконий, Подземный","слепое зрение? 60 футов, тёмное зрение? 300 футов, пассивное Восприятие 20",+6 ,«Fizban's Treasury of Dragons»,"[23, 6]","[16, 3]","[20, 5]","[19, 4]","[18, 4]","[21, 5]","Громадный? Дракон, нейтрально-злой"
902,Дроу любимый консорт [Drow Favored Consort],https://dnd.su/bestiary/6613-drow-favored-consort/,,,15,240 (32к8 + 96) ,подземье,18 (20 000 опыта),30 футов,,"Лов +11, Тел +9, Хар +10",,"Подземный, Эльфийский","тёмное зрение? 120 футов, пассивное Восприятие 18",+6 ,«Mordenkainen Presents: Monsters of the Multiverse»,"[15, 2]","[20, 5]","[16, 3]","[18, 4]","[15, 2]","[18, 4]","Средний? Гуманоид (эльф, волшебник), обычно нейтрально-злой"
